"年度","リーグID","チームID","打者ID","月","試合","打席","打数","得点","安打","二塁打","三塁打","本塁打","塁打","打点","三振","四球","死球","犠打","犠飛","盗塁","盗塁死","併殺打","打率","長打率","出塁率","OPS","年間通算打数","年間通算安打","年間通算打率","data.means.km.cluster"
"4261",2009,1,3,12103,8,4,10,10,0,2,0,0,0,2,1,2,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,26,4,0.153846153846154,5
"4262",2009,1,3,12103,9,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,26,4,0.153846153846154,5
"4263",2010,1,3,12103,3,1,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,5
"4264",2010,1,3,12103,4,5,11,10,1,2,1,0,0,3,1,6,0,0,1,0,0,0,0,0.2,0.3,0.2,0.5,11,2,0.181818181818182,2
"4265",2010,1,3,12103,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0.166666666666667,5
"4266",2010,1,3,12103,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,12,2,0.166666666666667,5
"4267",2010,1,3,12103,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,12,2,0.166666666666667,5
"4268",2010,1,3,12103,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,12,2,0.166666666666667,5
"4269",2011,2,11,12103,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4270",2011,2,11,12103,5,5,4,3,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.25,0.25,3,0,0,5
"4271",2011,2,11,12103,6,3,8,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5
"4272",2011,2,11,12103,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,11,0,0,5
"4273",2011,2,11,12103,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,11,0,0,5
"4274",2011,2,11,12103,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,11,0,0,5
"4275",2011,2,11,12103,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,11,0,0,5
"4276",2012,2,11,12103,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4277",2012,2,11,12103,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4278",2012,2,11,12103,6,5,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
"4279",2012,2,11,12103,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,0,0,5
"4280",2012,2,11,12103,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,0,0,5
"4281",2013,2,12,12103,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4282",2013,2,12,12103,5,5,5,5,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,5,1,0.2,2
"4283",2013,2,12,12103,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,1,0.2,5
"4284",2013,2,12,12103,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,1,0.2,5
"4285",2013,2,12,12103,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,1,0.2,5
"4286",2013,2,12,12103,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,1,0.2,5
"4287",2014,2,12,12103,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4288",2009,2,12,12105,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4289",2009,2,12,12105,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4290",2009,2,12,12105,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4291",2009,2,12,12105,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4292",2009,2,12,12105,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4293",2009,2,12,12105,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4294",2010,2,12,12105,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4295",2010,2,12,12105,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4296",2010,2,12,12105,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4297",2011,2,12,12105,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4298",2012,2,12,12105,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4299",2012,2,12,12105,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4300",2012,2,12,12105,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4301",2012,2,12,12105,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4302",2013,1,3,12105,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4303",2013,1,3,12105,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4304",2013,1,3,12105,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4305",2009,2,12,12107,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4306",2009,2,12,12107,5,5,3,3,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.333333333333,0.333333333333,0.333333333333,0.666666666667,3,1,0.333333333333333,2
"4307",2009,2,12,12107,6,4,6,5,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,8,1,0.125,5
"4308",2009,2,12,12107,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,8,1,0.125,5
"4309",2009,2,12,12107,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,8,1,0.125,5
"4310",2009,2,12,12107,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,8,1,0.125,5
"4311",2009,2,12,12107,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,8,1,0.125,5
"4312",2010,2,12,12107,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4313",2010,2,12,12107,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4314",2010,2,12,12107,5,3,7,6,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,6,0,0,5
"4315",2010,2,12,12107,6,5,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,8,1,0.125,5
"4316",2010,2,12,12107,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,8,1,0.125,5
"4317",2010,2,12,12107,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,8,1,0.125,5
"4318",2010,2,12,12107,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,8,1,0.125,5
"4319",2011,2,12,12107,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4320",2011,2,12,12107,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4321",2011,2,12,12107,6,4,6,5,1,1,1,0,0,2,3,2,0,0,1,0,0,0,0,0.2,0.4,0.2,0.6,5,1,0.2,2
"4322",2011,2,12,12107,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,1,0.2,5
"4323",2011,2,12,12107,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,1,0.2,5
"4324",2011,2,12,12107,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,1,0.2,5
"4325",2011,2,12,12107,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,1,0.2,5
"4326",2012,1,1,12107,4,4,11,9,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0.181818181818,0.181818181818,9,0,0,5
"4327",2012,1,1,12107,5,5,12,11,0,2,0,0,0,2,0,7,1,0,0,0,0,0,0,0.181818181818,0.181818181818,0.25,0.431818181818,20,2,0.1,5
"4328",2012,1,1,12107,6,5,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,23,2,0.0869565217391304,5
"4329",2012,1,1,12107,7,3,9,7,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0.125,0.125,30,2,0.0666666666666667,5
"4330",2012,1,1,12107,8,3,8,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,38,2,0.0526315789473684,5
"4331",2012,1,1,12107,9,4,7,6,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,44,2,0.0454545454545455,5
"4332",2013,1,1,12107,4,5,14,11,1,2,0,0,0,2,1,8,1,0,1,1,0,0,0,0.181818181818,0.181818181818,0.230769230769,0.412587412587,11,2,0.181818181818182,2
"4333",2013,1,1,12107,5,4,6,6,1,1,1,0,0,2,1,2,0,0,0,0,0,0,0,0.166666666667,0.333333333333,0.166666666667,0.5,17,3,0.176470588235294,2
"4334",2013,1,1,12107,6,4,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,3,0.142857142857143,5
"4335",2013,1,1,12107,7,3,8,7,0,1,0,0,0,1,0,4,0,0,1,0,0,0,0,0.142857142857,0.142857142857,0.142857142857,0.285714285714,28,4,0.142857142857143,5
"4336",2013,1,1,12107,8,5,12,10,0,1,0,0,0,1,0,5,1,0,1,0,0,0,0,0.1,0.1,0.181818181818,0.281818181818,38,5,0.131578947368421,2
"4337",2013,1,1,12107,9,3,6,6,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0.166666666667,0.166666666667,0.166666666667,0.333333333333,44,6,0.136363636363636,5
"4338",2014,1,1,12107,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
"4339",2014,1,1,12107,4,4,10,8,0,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0.125,0.125,0.125,0.25,9,1,0.111111111111111,5
"4340",2014,1,1,12107,5,5,9,8,1,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0.125,0.125,0.125,0.25,17,2,0.117647058823529,5
"4341",2009,2,12,12111,4,6,16,14,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0.0714285714286,0.0714285714286,0.0714285714286,0.142857142857,14,1,0.0714285714285714,5
"4342",2009,2,12,12111,5,2,5,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,18,1,0.0555555555555556,5
"4343",2010,1,3,12111,4,6,21,17,1,3,1,0,0,4,0,4,2,0,2,0,0,0,1,0.176470588235,0.235294117647,0.263157894737,0.498452012384,17,3,0.176470588235294,2
"4344",2010,1,3,12111,5,18,45,41,3,8,2,0,1,13,4,5,3,0,1,0,0,1,2,0.19512195122,0.317073170732,0.25,0.567073170732,58,11,0.189655172413793,2
"4345",2010,1,3,12111,6,7,18,17,1,4,2,0,0,6,0,5,1,0,0,0,0,0,0,0.235294117647,0.352941176471,0.277777777778,0.630718954248,75,15,0.2,2
"4346",2010,1,3,12111,8,3,3,3,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0.333333333333,0.666666666667,0.333333333333,1,78,16,0.205128205128205,2
"4347",2010,1,3,12111,9,14,26,25,2,5,2,0,0,7,1,7,1,0,0,0,0,0,1,0.2,0.28,0.230769230769,0.510769230769,103,21,0.203883495145631,2
"4348",2010,1,3,12111,10,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,104,21,0.201923076923077,2
"4349",2011,1,3,12111,5,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5
"4350",2011,1,3,12111,9,2,6,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.166666666667,0.166666666667,0.166666666667,0.333333333333,10,1,0.1,5
"4351",2011,1,3,12111,10,9,14,13,1,4,0,0,0,4,1,6,0,0,1,0,0,0,0,0.307692307692,0.307692307692,0.307692307692,0.615384615385,23,5,0.217391304347826,2
"4352",2012,1,3,12111,9,3,8,6,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0.166666666667,0.166666666667,0.375,0.541666666667,6,1,0.166666666666667,5
"4353",2012,1,3,12111,10,8,22,22,2,5,2,0,2,13,3,1,0,0,0,0,0,0,2,0.227272727273,0.590909090909,0.227272727273,0.818181818182,28,6,0.214285714285714,2
"4354",2013,1,3,12111,4,7,27,23,6,9,1,0,0,10,4,2,3,0,0,1,0,0,1,0.391304347826,0.434782608696,0.444444444444,0.87922705314,23,9,0.391304347826087,2
"4355",2013,1,3,12111,5,9,35,31,3,5,1,0,0,6,4,4,2,1,0,1,0,0,1,0.161290322581,0.193548387097,0.228571428571,0.422119815668,54,14,0.259259259259259,2
"4356",2013,1,3,12111,7,8,27,23,6,9,2,0,0,11,3,1,2,0,1,1,0,0,2,0.391304347826,0.478260869565,0.423076923077,0.901337792642,77,23,0.298701298701299,2
"4357",2013,1,3,12111,8,8,10,10,1,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,87,27,0.310344827586207,2
"4358",2014,1,3,12111,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
"4359",2014,1,3,12111,4,12,20,19,1,5,2,0,1,10,5,7,0,0,0,1,0,0,0,0.263157894737,0.526315789474,0.25,0.776315789474,20,5,0.25,2
"4360",2014,1,3,12111,5,6,13,13,1,2,0,0,0,2,1,1,0,0,0,0,0,0,1,0.153846153846,0.153846153846,0.153846153846,0.307692307692,33,7,0.212121212121212,2
"4361",2009,1,2,12113,4,5,12,11,0,1,0,0,0,1,0,3,0,0,1,0,0,0,1,0.0909090909091,0.0909090909091,0.0909090909091,0.181818181818,11,1,0.0909090909090909,5
"4362",2009,1,2,12113,5,4,8,4,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,15,1,0.0666666666666667,5
"4363",2009,1,2,12113,6,5,7,5,1,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0.2,0.2,0.2,0.4,20,2,0.1,5
"4364",2009,1,2,12113,7,5,9,6,1,2,0,0,0,2,0,1,0,0,3,0,0,0,0,0.333333333333,0.333333333333,0.333333333333,0.666666666667,26,4,0.153846153846154,2
"4365",2009,1,2,12113,8,4,10,8,0,3,0,0,0,3,0,2,0,0,2,0,0,0,0,0.375,0.375,0.375,0.75,34,7,0.205882352941176,2
"4366",2009,1,2,12113,9,5,13,11,1,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0.0909090909091,0.0909090909091,0.166666666667,0.257575757576,45,8,0.177777777777778,2
"4367",2009,1,2,12113,10,2,7,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,52,8,0.153846153846154,5
"4368",2010,1,2,12113,3,1,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
"4369",2010,1,2,12113,4,5,11,9,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,11,0,0,5
"4370",2010,1,2,12113,5,4,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,5
"4371",2010,1,2,12113,6,4,6,5,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,20,0,0,5
"4372",2010,1,2,12113,7,5,14,12,1,4,1,0,0,5,2,4,1,0,1,0,0,0,0,0.333333333333,0.416666666667,0.384615384615,0.801282051282,32,4,0.125,2
"4373",2010,1,2,12113,8,5,14,10,1,4,0,0,0,4,3,2,2,0,2,0,0,0,0,0.4,0.4,0.5,0.9,42,8,0.19047619047619,2
"4374",2010,1,2,12113,9,5,15,13,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0.133333333333,0.133333333333,55,8,0.145454545454545,2
"4375",2011,1,2,12113,4,3,6,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,5
"4376",2011,1,2,12113,5,4,6,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5
"4377",2011,1,2,12113,6,4,8,6,1,3,0,0,0,3,1,0,1,0,1,0,0,0,0,0.5,0.5,0.571428571429,1.07142857143,14,3,0.214285714285714,2
"4378",2011,1,2,12113,7,4,9,9,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0.111111111111,0.111111111111,0.111111111111,0.222222222222,23,4,0.173913043478261,5
"4379",2011,1,2,12113,8,5,14,11,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,34,4,0.117647058823529,5
"4380",2011,1,2,12113,9,4,8,6,1,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0.166666666667,0.166666666667,0.166666666667,0.333333333333,40,5,0.125,5
"4381",2011,1,2,12113,10,3,7,6,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0.142857142857,0.142857142857,46,5,0.108695652173913,5
"4382",2012,1,2,12113,3,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,4,1,0.25,2
"4383",2012,1,2,12113,4,4,7,6,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0.166666666667,0.166666666667,0.166666666667,0.333333333333,10,2,0.2,2
"4384",2012,1,2,12113,5,4,9,6,0,1,0,0,0,1,0,1,0,0,3,0,0,0,0,0.166666666667,0.166666666667,0.166666666667,0.333333333333,16,3,0.1875,2
"4385",2012,1,2,12113,6,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0.142857142857143,5
"4386",2012,1,2,12113,7,5,13,12,1,4,0,0,0,4,0,2,0,0,1,0,0,0,0,0.333333333333,0.333333333333,0.333333333333,0.666666666667,33,7,0.212121212121212,2
"4387",2012,1,2,12113,8,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,7,0.189189189189189,5
"4388",2012,1,2,12113,9,5,11,8,2,2,0,0,0,2,0,3,0,0,3,0,0,0,0,0.25,0.25,0.25,0.5,45,9,0.2,2
"4389",2012,1,2,12113,10,1,3,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.5,0.5,0.5,1,47,10,0.212765957446809,5
"4390",2013,1,2,12113,3,1,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
"4391",2013,1,2,12113,4,4,8,6,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0.166666666667,0.166666666667,0.166666666667,0.333333333333,9,1,0.111111111111111,5
"4392",2013,1,2,12113,5,5,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0.0833333333333333,5
"4393",2013,1,2,12113,6,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,13,1,0.0769230769230769,5
"4394",2013,1,2,12113,7,3,7,6,0,4,0,0,0,4,1,1,0,0,1,0,0,0,0,0.666666666667,0.666666666667,0.666666666667,1.33333333333,19,5,0.263157894736842,2
"4395",2013,1,2,12113,8,5,12,10,0,1,0,0,0,1,0,4,0,0,2,0,0,0,0,0.1,0.1,0.1,0.2,29,6,0.206896551724138,2
"4396",2013,1,2,12113,9,3,8,7,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,36,6,0.166666666666667,5
"4397",2013,1,2,12113,10,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38,6,0.157894736842105,5
"4398",2014,1,2,12113,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
"4399",2014,1,2,12113,4,4,8,8,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0.125,0.125,0.125,0.25,9,1,0.111111111111111,5
"4400",2014,1,2,12113,5,5,12,10,0,1,0,0,0,1,0,8,0,0,2,0,0,0,0,0.1,0.1,0.1,0.2,19,2,0.105263157894737,2
"4401",2009,1,2,12115,4,4,4,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.25,0.25,3,0,0,5
"4402",2009,1,2,12115,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,0,0,5
"4403",2009,1,2,12115,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,0,0,5
"4404",2009,1,2,12115,7,4,8,7,1,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0.142857142857,0.142857142857,0.25,0.392857142857,10,1,0.1,5
"4405",2010,1,2,12115,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4406",2010,1,2,12115,5,7,7,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5
"4407",2010,1,2,12115,6,2,2,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,2,8,1,0.125,5
"4408",2010,1,2,12115,7,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,0.111111111111111,5
"4409",2010,1,2,12115,8,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.5,0.5,10,1,0.1,5
"4410",2010,1,2,12115,10,2,5,3,1,2,0,0,0,2,1,0,1,1,0,0,0,0,0,0.666666666667,0.666666666667,0.8,1.46666666667,13,3,0.230769230769231,2
"4411",2011,1,2,12115,5,1,4,4,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0.25,0.5,0.25,0.75,4,1,0.25,2
"4412",2011,1,2,12115,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0.2,5
"4413",2011,1,2,12115,7,3,3,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.333333333333,0.333333333333,7,1,0.142857142857143,5
"4414",2011,1,2,12115,9,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,8,1,0.125,5
"4415",2011,1,2,12115,10,3,3,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.333333333333,0.333333333333,0.333333333333,0.666666666667,11,2,0.181818181818182,5
"4416",2012,1,2,12115,4,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
"4417",2012,1,2,12115,5,4,5,5,1,1,0,0,1,4,2,3,0,0,0,0,0,0,0,0.2,0.8,0.2,1,6,1,0.166666666666667,5
"4418",2012,1,2,12115,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0.142857142857143,5
"4419",2009,1,2,12116,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"4420",2009,1,2,12116,8,5,6,6,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.166666666667,0.166666666667,0.166666666667,0.333333333333,6,1,0.166666666666667,5
"4421",2009,1,2,12116,10,6,21,20,2,6,0,0,0,6,1,3,1,0,0,0,1,1,0,0.3,0.3,0.333333333333,0.633333333333,26,7,0.269230769230769,2
"4422",2011,2,11,12116,5,14,52,47,5,12,2,0,0,14,1,11,1,0,4,0,0,1,0,0.255319148936,0.297872340426,0.270833333333,0.568705673759,47,12,0.25531914893617,4
"4423",2011,2,11,12116,6,4,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,50,12,0.24,2
"4424",2011,2,11,12116,7,3,5,5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,55,13,0.236363636363636,2
"4425",2011,2,11,12116,8,10,19,19,0,4,0,0,0,4,0,6,0,0,0,0,0,0,0,0.210526315789,0.210526315789,0.210526315789,0.421052631579,74,17,0.22972972972973,2
"4426",2011,2,11,12116,9,6,7,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,81,17,0.209876543209877,2
"4427",2011,2,11,12116,10,6,14,12,1,2,0,0,0,2,1,3,1,0,1,0,0,0,0,0.166666666667,0.166666666667,0.230769230769,0.397435897436,93,19,0.204301075268817,2
"4428",2012,2,11,12116,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
"4429",2012,2,11,12116,4,5,12,11,1,1,0,0,0,1,0,5,1,0,0,0,0,0,0,0.0909090909091,0.0909090909091,0.166666666667,0.257575757576,12,1,0.0833333333333333,5
"4430",2012,2,11,12116,5,11,23,22,2,7,3,1,0,12,3,4,1,0,0,0,0,2,0,0.318181818182,0.545454545455,0.347826086957,0.893280632411,34,8,0.235294117647059,2
"4431",2012,2,11,12116,6,9,12,11,3,3,0,1,0,5,0,2,0,0,1,0,0,0,0,0.272727272727,0.454545454545,0.272727272727,0.727272727273,45,11,0.244444444444444,2
"4432",2012,2,11,12116,7,4,4,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,49,12,0.244897959183673,2
"4433",2012,2,11,12116,8,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,50,13,0.26,2
"4434",2012,2,11,12116,9,11,14,11,0,0,0,0,0,0,1,5,1,0,1,1,0,0,0,0,0,0.0769230769231,0.0769230769231,61,13,0.213114754098361,2
"4435",2009,1,2,12118,8,6,6,6,1,1,0,0,1,4,2,2,0,0,0,0,0,0,0,0.166666666667,0.666666666667,0.166666666667,0.833333333333,6,1,0.166666666666667,5
